Function: strcmp
Variant: default
                                    generic_strcmp	__strcmp_lsx	__strcmp_aligned
========================================================================================================================
     length=31, align1=31, align2=31:         1.13	        0.60 ( 46.90%)	        0.84 ( 25.67%)	
     length=31, align1=31, align2=31:         1.13	        0.60 ( 46.90%)	        0.84 ( 25.67%)	
        length=1, align1=0, align2=0:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.38%)	
        length=1, align1=1, align2=0:         0.56	        0.56 (  0.02%)	        0.66 (-18.18%)	
        length=1, align1=0, align2=1:         0.72	        0.59 ( 18.23%)	        0.66 (  8.62%)	
  length=1, align1=8192, align2=8191:         0.84	        0.68 ( 19.04%)	        0.86 ( -2.39%)	
  length=1, align1=8191, align2=8192:         0.88	        0.68 ( 22.97%)	        0.86 (  2.68%)	
    length=1, align1=16383, align2=0:         0.84	        0.68 ( 19.05%)	        0.86 ( -2.37%)	
    length=1, align1=0, align2=16383:         0.84	        0.68 ( 19.05%)	        0.86 ( -2.37%)	
    length=1, align1=16368, align2=0:         0.52	        0.44 ( 15.62%)	        0.44 ( 15.50%)	
    length=1, align1=0, align2=16368:         0.52	        0.44 ( 15.38%)	        0.44 ( 15.38%)	
length=1, align1=16368, align2=16376:         0.52	        0.56 ( -7.72%)	        0.44 ( 15.37%)	
length=1, align1=16376, align2=16368:         0.52	        0.56 ( -7.69%)	        0.44 ( 15.40%)	
    length=1, align1=16352, align2=0:         0.52	        0.44 ( 15.36%)	        0.44 ( 15.38%)	
    length=1, align1=0, align2=16352:         0.52	        0.44 ( 15.55%)	        0.44 ( 15.69%)	
length=1, align1=16352, align2=16368:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=1, align1=16368, align2=16352:         0.52	        0.44 ( 15.40%)	        0.44 ( 15.40%)	
    length=1, align1=16336, align2=0:         0.55	        0.44 ( 20.05%)	        0.44 ( 20.06%)	
    length=1, align1=0, align2=16336:         0.52	        0.44 ( 15.40%)	        0.44 ( 15.38%)	
length=1, align1=16336, align2=16360:         0.52	        0.58 (-10.95%)	        0.44 ( 15.39%)	
length=1, align1=16360, align2=16336:         0.52	        0.57 (-10.01%)	        0.44 ( 15.39%)	
    length=1, align1=16320, align2=0:         0.52	        0.44 ( 15.46%)	        0.44 ( 15.47%)	
    length=1, align1=0, align2=16320:         0.52	        0.44 ( 15.40%)	        0.44 ( 15.40%)	
length=1, align1=16320, align2=16352:         0.52	        0.44 ( 15.39%)	        0.44 ( 15.39%)	
length=1, align1=16352, align2=16320:         0.52	        0.44 ( 15.37%)	        0.44 ( 15.37%)	
