Function: strchrnul
Variant: 
                                    generic_strchrnul	__strchrnul_lasx	__strchrnul_lsx	__strchrnul_aligned
========================================================================================================================
      length=15, pos=14, alignment=0:         0.65	        0.36 ( 44.90%)	        0.32 ( 51.02%)	        0.51 ( 22.45%)	
      length=16, pos=15, alignment=0:         0.60	        0.36 ( 40.01%)	        0.32 ( 46.67%)	        0.51 ( 15.56%)	
      length=16, pos=15, alignment=0:         0.60	        0.36 ( 40.01%)	        0.32 ( 46.67%)	        0.51 ( 15.56%)	
      length=17, pos=16, alignment=0:         1.72	        0.36 ( 79.07%)	        0.44 ( 74.41%)	        0.66 ( 61.62%)	
      length=17, pos=16, alignment=0:         1.72	        0.36 ( 79.06%)	        0.44 ( 74.41%)	        0.67 ( 60.92%)	
      length=18, pos=17, alignment=0:         1.72	        0.36 ( 79.09%)	        0.44 ( 74.45%)	        0.66 ( 61.67%)	
      length=18, pos=17, alignment=0:         1.72	        0.36 ( 79.06%)	        0.44 ( 74.41%)	        0.66 ( 61.62%)	
      length=19, pos=18, alignment=0:         1.72	        0.36 ( 79.07%)	        0.44 ( 74.41%)	        0.66 ( 61.62%)	
      length=19, pos=18, alignment=0:         1.72	        0.37 ( 78.28%)	        0.44 ( 74.41%)	        0.66 ( 61.62%)	
      length=20, pos=19, alignment=0:         1.72	        0.36 ( 79.06%)	        0.44 ( 74.41%)	        0.66 ( 61.62%)	
      length=20, pos=19, alignment=0:         1.72	        0.36 ( 79.07%)	        0.44 ( 74.41%)	        0.66 ( 61.62%)	
      length=21, pos=20, alignment=0:         1.72	        0.36 ( 79.03%)	        0.44 ( 74.41%)	        0.66 ( 61.62%)	
      length=21, pos=20, alignment=0:         2.12	        0.36 ( 82.98%)	        0.44 ( 79.20%)	        0.66 ( 68.80%)	
      length=22, pos=21, alignment=0:         2.48	        0.36 ( 85.48%)	        0.44 ( 82.25%)	        0.66 ( 73.38%)	
      length=22, pos=21, alignment=0:         2.48	        0.36 ( 85.48%)	        0.44 ( 82.25%)	        0.66 ( 73.38%)	
      length=23, pos=22, alignment=0:         2.50	        0.36 ( 85.59%)	        0.44 ( 82.39%)	        0.66 ( 73.59%)	
      length=23, pos=22, alignment=0:         2.48	        0.36 ( 85.48%)	        0.44 ( 82.25%)	        0.66 ( 73.38%)	
      length=24, pos=23, alignment=0:         2.48	        0.36 ( 85.48%)	        0.44 ( 82.25%)	        0.66 ( 73.38%)	
      length=24, pos=23, alignment=0:         2.49	        0.36 ( 85.54%)	        0.44 ( 82.33%)	        0.66 ( 73.50%)	
      length=25, pos=24, alignment=0:         0.86	        0.36 ( 58.25%)	        0.44 ( 48.97%)	        0.77 ( 10.72%)	
      length=25, pos=24, alignment=0:         0.86	        0.36 ( 58.14%)	        0.44 ( 48.84%)	        0.77 ( 10.33%)	
      length=26, pos=25, alignment=0:         0.86	        0.36 ( 58.14%)	        0.44 ( 48.84%)	        0.77 ( 10.30%)	
      length=26, pos=25, alignment=0:         0.86	        0.36 ( 58.14%)	        0.45 ( 47.26%)	        0.79 (  8.00%)	
      length=27, pos=26, alignment=0:         0.86	        0.36 ( 58.14%)	        0.44 ( 48.83%)	        0.76 ( 11.62%)	
      length=27, pos=26, alignment=0:         0.86	        0.36 ( 58.14%)	        0.44 ( 48.84%)	        0.77 ( 10.37%)	
      length=28, pos=27, alignment=0:         0.86	        0.36 ( 58.13%)	        0.44 ( 48.84%)	        0.77 ( 10.29%)	
      length=28, pos=27, alignment=0:         0.86	        0.36 ( 58.14%)	        0.44 ( 48.83%)	        0.77 ( 10.52%)	
      length=29, pos=28, alignment=0:         0.86	        0.37 ( 56.73%)	        0.44 ( 48.84%)	        0.77 ( 10.38%)	
      length=29, pos=28, alignment=0:         0.86	        0.36 ( 58.14%)	        0.44 ( 48.83%)	        0.77 ( 10.30%)	
      length=30, pos=29, alignment=0:         0.86	        0.36 ( 58.14%)	        0.44 ( 48.84%)	        0.77 ( 10.92%)	
      length=30, pos=29, alignment=0:         0.86	        0.36 ( 58.14%)	        0.44 ( 48.83%)	        0.77 ( 10.30%)	
      length=31, pos=30, alignment=0:         0.86	        0.36 ( 58.14%)	        0.44 ( 48.84%)	        0.77 ( 10.30%)	
      length=31, pos=30, alignment=0:         0.87	        0.36 ( 58.64%)	        0.44 ( 49.45%)	        0.77 ( 11.36%)	
      length=32, pos=31, alignment=0:         0.86	        0.36 ( 58.14%)	        0.44 ( 48.83%)	        0.77 ( 10.30%)	
      length=32, pos=31, alignment=0:         0.86	        0.36 ( 58.14%)	        0.44 ( 48.84%)	        0.77 ( 10.42%)	
    length=2048, pos=32, alignment=0:         0.92	        0.44 ( 52.06%)	        0.56 ( 39.13%)	        0.86 (  6.51%)	
    length=2048, pos=32, alignment=1:         0.92	        0.44 ( 52.18%)	        0.56 ( 39.13%)	        0.87 (  5.20%)	
    length=2048, pos=64, alignment=0:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.55%)	        1.36 (  5.56%)	
    length=2048, pos=64, alignment=2:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.55%)	        1.36 (  5.49%)	
   length=2048, pos=128, alignment=0:         2.42	        0.62 ( 74.38%)	        0.82 ( 66.26%)	        2.24 (  7.44%)	
   length=2048, pos=128, alignment=3:         2.42	        0.62 ( 74.38%)	        0.80 ( 66.93%)	        2.24 (  7.44%)	
   length=2048, pos=256, alignment=0:         4.45	        0.96 ( 78.45%)	        1.81 ( 59.29%)	        4.02 (  9.76%)	
   length=2048, pos=256, alignment=4:         4.45	        0.96 ( 78.42%)	        1.81 ( 59.25%)	        4.02 (  9.65%)	
   length=2048, pos=512, alignment=0:         8.54	        1.60 ( 81.26%)	        3.34 ( 60.86%)	        7.58 ( 11.16%)	
   length=2048, pos=512, alignment=5:         8.53	        1.60 ( 81.24%)	        3.34 ( 60.84%)	        7.59 ( 11.08%)	
  length=2048, pos=1024, alignment=0:        16.89	        2.89 ( 82.89%)	        5.84 ( 65.41%)	       15.42 (  8.68%)	
  length=2048, pos=1024, alignment=6:        16.94	        2.89 ( 82.93%)	        5.82 ( 65.63%)	       15.52 (  8.39%)	
  length=2048, pos=2048, alignment=0:        32.21	        5.44 ( 83.10%)	       11.58 ( 64.06%)	       29.45 (  8.56%)	
  length=2048, pos=2048, alignment=7:        32.16	        5.46 ( 83.02%)	       11.58 ( 64.00%)	       29.44 (  8.45%)	
    length=4096, pos=32, alignment=0:         0.92	        0.44 ( 52.17%)	        0.53 ( 42.02%)	        0.88 (  4.60%)	
    length=4096, pos=32, alignment=1:         0.92	        0.44 ( 52.17%)	        2.01 (-118.85%)	        0.86 (  6.53%)	
    length=4096, pos=64, alignment=0:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.56%)	        1.36 (  5.56%)	
    length=4096, pos=64, alignment=2:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.56%)	        1.37 (  4.60%)	
   length=4096, pos=128, alignment=0:         2.42	        0.62 ( 74.37%)	        0.80 ( 66.92%)	        2.24 (  7.44%)	
   length=4096, pos=128, alignment=3:         2.42	        0.62 ( 74.38%)	        0.80 ( 66.94%)	        2.26 (  6.79%)	
   length=4096, pos=256, alignment=0:         4.44	        0.96 ( 78.38%)	        1.59 ( 64.09%)	        4.02 (  9.36%)	
   length=4096, pos=256, alignment=4:         4.44	        0.96 ( 78.38%)	        1.63 ( 63.38%)	        4.02 (  9.46%)	
   length=4096, pos=512, alignment=0:         8.53	        1.60 ( 81.24%)	        3.35 ( 60.68%)	        7.57 ( 11.27%)	
   length=4096, pos=512, alignment=5:         8.53	        1.60 ( 81.25%)	        3.34 ( 60.85%)	        7.58 ( 11.16%)	
  length=4096, pos=1024, alignment=0:        16.82	        2.90 ( 82.77%)	        5.82 ( 65.39%)	       15.41 (  8.36%)	
  length=4096, pos=1024, alignment=6:        16.86	        2.88 ( 82.92%)	        5.82 ( 65.48%)	       15.43 (  8.52%)	
  length=4096, pos=2048, alignment=0:        32.31	        5.45 ( 83.12%)	       11.61 ( 64.06%)	       29.46 (  8.82%)	
  length=4096, pos=2048, alignment=7:        32.22	        5.44 ( 83.11%)	       11.58 ( 64.06%)	       29.46 (  8.59%)	
     length=256, pos=64, alignment=1:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.56%)	        1.36 (  5.56%)	
     length=256, pos=64, alignment=1:         1.44	        0.44 ( 69.42%)	        0.64 ( 55.54%)	        1.36 (  5.56%)	
     length=256, pos=64, alignment=2:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.55%)	        1.37 (  4.67%)	
     length=256, pos=64, alignment=2:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.55%)	        1.36 (  5.55%)	
     length=256, pos=64, alignment=3:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.55%)	        1.36 (  5.55%)	
     length=256, pos=64, alignment=3:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.55%)	        1.37 (  4.56%)	
     length=256, pos=64, alignment=4:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.55%)	        1.36 (  5.55%)	
     length=256, pos=64, alignment=4:         1.44	        0.44 ( 69.44%)	        0.64 ( 55.55%)	        1.36 (  5.56%)	
