Function: strnlen
Variant: 
                                    generic_strnlen	__strnlen_lasx	__strnlen_lsx	__strnlen_aligned
========================================================================================================================
len=5000, maxlen=512, max_char=127, align=0:         7.76	        1.72 ( 77.84%)	        1.64 ( 78.87%)	        5.76 ( 25.77%)	
len=5000, maxlen=512, max_char=127, align=1:         7.84	        1.34 ( 82.90%)	        1.72 ( 78.06%)	        5.80 ( 26.05%)	
len=1024, maxlen=5000, max_char=127, align=0:        14.09	        1.70 ( 87.94%)	        3.00 ( 78.71%)	       11.94 ( 15.28%)	
len=1024, maxlen=5000, max_char=127, align=1:        14.07	        1.71 ( 87.84%)	        3.00 ( 78.68%)	       12.03 ( 14.50%)	
len=5000, maxlen=1024, max_char=127, align=0:        13.71	        1.85 ( 86.53%)	        2.92 ( 78.69%)	       12.00 ( 12.43%)	
len=5000, maxlen=1024, max_char=127, align=1:        13.86	        1.77 ( 87.23%)	        3.00 ( 78.36%)	       12.12 ( 12.59%)	
len=1, maxlen=5000, max_char=127, align=0:         0.92	        0.44 ( 52.19%)	        0.40 ( 56.53%)	        0.44 ( 52.19%)	
len=5000, maxlen=1, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.48 ( 47.82%)	
len=2, maxlen=5000, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.44 ( 52.18%)	
len=5000, maxlen=2, max_char=127, align=0:         0.92	        0.44 ( 52.17%)	        0.40 ( 56.51%)	        0.48 ( 47.82%)	
len=3, maxlen=5000, max_char=127, align=0:         0.92	        0.44 ( 52.17%)	        0.40 ( 56.51%)	        0.44 ( 52.14%)	
len=5000, maxlen=3, max_char=127, align=0:         0.92	        0.44 ( 52.17%)	        0.40 ( 56.52%)	        0.48 ( 47.82%)	
len=4, maxlen=5000, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.44 ( 52.16%)	
len=5000, maxlen=4, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.48 ( 47.82%)	
len=5, maxlen=5000, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.50 ( 45.20%)	        0.44 ( 52.18%)	
len=5000, maxlen=5, max_char=127, align=0:         0.92	        0.44 ( 52.17%)	        0.40 ( 56.51%)	        0.48 ( 47.82%)	
len=6, maxlen=5000, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.44 ( 52.18%)	
len=5000, maxlen=6, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.48 ( 47.82%)	
len=7, maxlen=5000, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.44 ( 52.18%)	
len=5000, maxlen=7, max_char=127, align=0:         0.92	        0.44 ( 52.17%)	        0.40 ( 56.51%)	        0.48 ( 47.82%)	
len=1, maxlen=5000, max_char=127, align=1:         0.92	        0.44 ( 52.16%)	        0.40 ( 56.53%)	        0.44 ( 52.18%)	
len=5000, maxlen=1, max_char=127, align=1:         0.92	        0.44 ( 52.17%)	        0.40 ( 56.51%)	        0.48 ( 47.82%)	
len=2, maxlen=5000, max_char=127, align=2:         0.92	        0.44 ( 52.16%)	        0.40 ( 56.51%)	        0.44 ( 52.18%)	
len=5000, maxlen=2, max_char=127, align=2:         0.92	        0.44 ( 52.17%)	        0.40 ( 56.52%)	        0.48 ( 47.82%)	
len=3, maxlen=5000, max_char=127, align=3:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.53%)	        0.44 ( 52.16%)	
len=5000, maxlen=3, max_char=127, align=3:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.48 ( 47.81%)	
len=4, maxlen=5000, max_char=127, align=4:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=5000, maxlen=4, max_char=127, align=4:         0.92	        0.44 ( 52.16%)	        0.40 ( 56.51%)	        0.48 ( 47.82%)	
len=5, maxlen=5000, max_char=127, align=5:         1.12	        0.44 ( 60.72%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=5000, maxlen=5, max_char=127, align=5:         1.12	        0.44 ( 60.72%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=6, maxlen=5000, max_char=127, align=6:         1.12	        0.44 ( 60.72%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
len=5000, maxlen=6, max_char=127, align=6:         1.12	        0.47 ( 57.69%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
len=7, maxlen=5000, max_char=127, align=7:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.28%)	        0.48 ( 57.13%)	
len=5000, maxlen=7, max_char=127, align=7:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.28%)	        0.48 ( 57.15%)	
len=4, maxlen=5000, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.44 ( 52.18%)	
len=4, maxlen=5000, max_char=127, align=1:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.44 ( 52.18%)	
len=5000, maxlen=4, max_char=127, align=0:         0.92	        0.44 ( 52.17%)	        0.40 ( 56.51%)	        0.48 ( 47.82%)	
len=5000, maxlen=4, max_char=127, align=1:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.53%)	        0.48 ( 47.81%)	
len=8, maxlen=5000, max_char=127, align=0:         1.12	        0.44 ( 60.70%)	        0.40 ( 64.27%)	        0.48 ( 57.13%)	
len=8, maxlen=5000, max_char=127, align=1:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.28%)	        0.48 ( 57.13%)	
len=5000, maxlen=8, max_char=127, align=0:         0.92	        0.44 ( 52.17%)	        0.40 ( 56.51%)	        0.48 ( 47.80%)	
len=5000, maxlen=8, max_char=127, align=1:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=16, maxlen=5000, max_char=127, align=0:         1.21	        0.44 ( 63.62%)	        0.40 ( 66.94%)	        0.64 ( 47.10%)	
len=16, maxlen=5000, max_char=127, align=1:         1.20	        0.44 ( 63.32%)	        0.40 ( 66.66%)	        0.64 ( 46.66%)	
len=5000, maxlen=16, max_char=127, align=0:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
