Function: strchr
Variant: 
                                    generic_strchr	__strchr_lasx	__strchr_lsx	__strchr_aligned
========================================================================================================================
      length=12, pos=11, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.60 ( 25.00%)	
      length=12, pos=11, alignment=0:         0.80	        0.40 ( 50.00%)	        0.41 ( 48.83%)	        0.60 ( 25.00%)	
      length=13, pos=12, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.60 ( 25.41%)	
      length=13, pos=12, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.60 ( 25.00%)	
      length=14, pos=13, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.60 ( 25.00%)	
      length=14, pos=13, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.60 ( 25.00%)	
      length=15, pos=14, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.58 ( 27.01%)	
      length=15, pos=14, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.60 ( 25.00%)	
      length=16, pos=15, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 49.99%)	        0.58 ( 27.50%)	
      length=16, pos=15, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.60 ( 25.44%)	
      length=17, pos=16, alignment=0:         1.88	        0.40 ( 78.73%)	        0.60 ( 68.08%)	        0.72 ( 61.70%)	
      length=17, pos=16, alignment=0:         2.18	        0.40 ( 81.66%)	        0.60 ( 72.49%)	        0.72 ( 66.99%)	
      length=18, pos=17, alignment=0:         2.72	        0.40 ( 85.29%)	        0.60 ( 77.93%)	        0.72 ( 73.52%)	
      length=18, pos=17, alignment=0:         2.72	        0.40 ( 85.29%)	        0.60 ( 77.93%)	        0.72 ( 73.52%)	
      length=19, pos=18, alignment=0:         2.73	        0.40 ( 85.32%)	        0.60 ( 77.99%)	        0.72 ( 73.58%)	
      length=19, pos=18, alignment=0:         2.72	        0.40 ( 85.29%)	        0.60 ( 77.93%)	        0.72 ( 73.52%)	
      length=20, pos=19, alignment=0:         2.72	        0.40 ( 85.29%)	        0.61 ( 77.53%)	        0.72 ( 73.52%)	
      length=20, pos=19, alignment=0:         2.72	        0.40 ( 85.29%)	        0.60 ( 77.93%)	        0.72 ( 73.52%)	
      length=21, pos=20, alignment=0:         2.72	        0.40 ( 85.29%)	        0.60 ( 77.93%)	        0.72 ( 73.52%)	
      length=21, pos=20, alignment=0:         2.73	        0.40 ( 85.33%)	        0.60 ( 78.00%)	        0.72 ( 73.60%)	
      length=22, pos=21, alignment=0:         2.72	        0.40 ( 85.29%)	        0.60 ( 77.93%)	        0.72 ( 73.52%)	
      length=22, pos=21, alignment=0:         2.72	        0.40 ( 85.29%)	        0.60 ( 77.93%)	        0.72 ( 73.52%)	
      length=23, pos=22, alignment=0:         2.73	        0.40 ( 85.34%)	        0.60 ( 78.02%)	        0.72 ( 73.62%)	
      length=23, pos=22, alignment=0:         2.72	        0.40 ( 85.29%)	        0.60 ( 77.94%)	        0.72 ( 73.52%)	
      length=24, pos=23, alignment=0:         2.72	        0.40 ( 85.29%)	        0.61 ( 77.69%)	        0.72 ( 73.52%)	
      length=24, pos=23, alignment=0:         2.72	        0.40 ( 85.30%)	        0.60 ( 77.87%)	        0.72 ( 73.53%)	
      length=25, pos=24, alignment=0:         1.12	        0.40 ( 64.29%)	        0.60 ( 46.44%)	        0.81 ( 28.01%)	
      length=25, pos=24, alignment=0:         1.12	        0.40 ( 64.29%)	        0.60 ( 46.43%)	        0.84 ( 25.00%)	
      length=26, pos=25, alignment=0:         1.13	        0.40 ( 64.54%)	        0.60 ( 46.81%)	        0.81 ( 27.84%)	
      length=26, pos=25, alignment=0:         1.12	        0.40 ( 64.29%)	        0.60 ( 46.43%)	        0.84 ( 25.00%)	
      length=27, pos=26, alignment=0:         1.12	        0.40 ( 64.28%)	        0.60 ( 46.43%)	        0.84 ( 25.00%)	
      length=27, pos=26, alignment=0:         1.12	        0.40 ( 64.28%)	        0.60 ( 46.43%)	        0.81 ( 28.06%)	
      length=28, pos=27, alignment=0:         1.13	        0.40 ( 64.64%)	        0.60 ( 46.95%)	        0.84 ( 25.73%)	
      length=28, pos=27, alignment=0:         1.12	        0.40 ( 64.28%)	        0.60 ( 46.43%)	        0.84 ( 25.00%)	
      length=29, pos=28, alignment=0:         1.12	        0.40 ( 64.28%)	        0.60 ( 46.43%)	        0.84 ( 25.00%)	
      length=29, pos=28, alignment=0:         1.12	        0.40 ( 64.29%)	        0.60 ( 46.11%)	        0.84 ( 25.00%)	
      length=30, pos=29, alignment=0:         1.13	        0.40 ( 64.51%)	        0.60 ( 46.77%)	        0.84 ( 25.48%)	
      length=30, pos=29, alignment=0:         1.12	        0.40 ( 64.29%)	        0.60 ( 46.43%)	        0.84 ( 25.00%)	
      length=31, pos=30, alignment=0:         1.12	        0.40 ( 64.29%)	        0.60 ( 46.43%)	        0.84 ( 25.00%)	
      length=31, pos=30, alignment=0:         1.12	        0.40 ( 64.28%)	        0.60 ( 46.43%)	        0.84 ( 25.00%)	
      length=32, pos=31, alignment=0:         1.13	        0.40 ( 64.50%)	        0.60 ( 46.76%)	        0.81 ( 28.50%)	
      length=32, pos=31, alignment=0:         1.12	        0.40 ( 64.28%)	        0.60 ( 46.43%)	        0.84 ( 24.90%)	
    length=2048, pos=32, alignment=0:         1.20	        0.56 ( 53.32%)	        0.76 ( 36.67%)	        0.95 ( 20.83%)	
    length=2048, pos=32, alignment=1:         1.20	        0.56 ( 53.33%)	        0.76 ( 36.67%)	        0.96 ( 19.90%)	
    length=2048, pos=64, alignment=0:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.31%)	
    length=2048, pos=64, alignment=2:         1.63	        0.60 ( 63.19%)	        1.08 ( 33.74%)	        1.41 ( 13.50%)	
   length=2048, pos=128, alignment=0:         2.63	        0.80 ( 69.55%)	        1.69 ( 35.55%)	        2.32 ( 11.58%)	
   length=2048, pos=128, alignment=3:         2.62	        0.80 ( 69.47%)	        1.69 ( 35.37%)	        2.33 ( 11.13%)	
   length=2048, pos=256, alignment=0:         4.68	        1.12 ( 76.07%)	        2.33 ( 50.14%)	        4.11 ( 12.26%)	
   length=2048, pos=256, alignment=4:         4.68	        1.12 ( 76.01%)	        2.33 ( 50.14%)	        4.10 ( 12.38%)	
   length=2048, pos=512, alignment=0:         8.84	        1.77 ( 80.00%)	        3.61 ( 59.13%)	        7.66 ( 13.32%)	
   length=2048, pos=512, alignment=5:         8.86	        1.76 ( 80.13%)	        3.62 ( 59.12%)	        7.66 ( 13.51%)	
  length=2048, pos=1024, alignment=0:        17.85	        3.04 ( 82.96%)	        7.69 ( 56.91%)	       15.54 ( 12.97%)	
  length=2048, pos=1024, alignment=6:        18.25	        3.06 ( 83.25%)	        7.12 ( 60.99%)	       15.58 ( 14.64%)	
  length=2048, pos=2048, alignment=0:        34.76	        5.61 ( 83.87%)	       11.69 ( 66.38%)	       29.55 ( 14.99%)	
  length=2048, pos=2048, alignment=7:        34.84	        5.61 ( 83.91%)	       11.69 ( 66.44%)	       29.54 ( 15.22%)	
    length=4096, pos=32, alignment=0:         1.20	        0.56 ( 53.33%)	        0.76 ( 36.67%)	        0.95 ( 20.83%)	
