Function: memchr
Variant: 
                                    generic_memchr	__memchr_lasx	__memchr_lsx	__memchr_aligned
========================================================================================================================
align=16369, pos=96, len=256, seek_char=23, invert_pos=0:         1.85	        0.64 ( 65.38%)	        0.76 ( 58.91%)	        1.57 ( 15.27%)	
align=4, pos=128, len=192, seek_char=23, invert_pos=0:         2.16	        0.64 ( 70.23%)	        0.96 ( 55.53%)	        1.91 ( 11.77%)	
align=4, pos=128, len=192, seek_char=0, invert_pos=0:         2.16	        0.64 ( 70.37%)	        0.96 ( 55.56%)	        1.90 ( 12.05%)	
align=4, pos=128, len=256, seek_char=23, invert_pos=0:         2.16	        0.64 ( 70.37%)	        0.96 ( 55.50%)	        1.90 ( 12.01%)	
align=4, pos=128, len=256, seek_char=0, invert_pos=0:         2.19	        0.64 ( 70.80%)	        0.96 ( 56.19%)	        1.91 ( 12.64%)	
align=4, pos=128, len=512, seek_char=23, invert_pos=0:         2.16	        0.64 ( 70.36%)	        0.96 ( 55.55%)	        1.90 ( 12.04%)	
align=4, pos=128, len=512, seek_char=0, invert_pos=0:         2.19	        0.64 ( 70.72%)	        0.96 ( 56.09%)	        1.90 ( 13.09%)	
align=16369, pos=128, len=256, seek_char=23, invert_pos=0:         2.17	        0.64 ( 70.45%)	        0.96 ( 55.68%)	        1.90 ( 12.28%)	
align=5, pos=160, len=192, seek_char=23, invert_pos=0:         2.60	        0.64 ( 75.36%)	        1.08 ( 58.42%)	        2.28 ( 12.06%)	
align=5, pos=160, len=192, seek_char=0, invert_pos=0:         2.57	        0.64 ( 75.09%)	        1.00 ( 61.08%)	        2.24 ( 12.84%)	
align=5, pos=160, len=256, seek_char=23, invert_pos=0:         2.54	        0.64 ( 74.84%)	        1.00 ( 60.70%)	        2.28 ( 10.39%)	
align=5, pos=160, len=256, seek_char=0, invert_pos=0:         2.55	        0.64 ( 74.88%)	        1.00 ( 60.75%)	        2.28 ( 10.52%)	
align=5, pos=160, len=512, seek_char=23, invert_pos=0:         2.57	        0.64 ( 75.14%)	        1.06 ( 58.65%)	        2.28 ( 11.45%)	
align=5, pos=160, len=512, seek_char=0, invert_pos=0:         2.57	        0.64 ( 75.13%)	        1.01 ( 60.76%)	        2.28 ( 11.40%)	
align=16369, pos=160, len=256, seek_char=23, invert_pos=0:         2.60	        0.76 ( 70.74%)	        1.02 ( 60.63%)	        2.28 ( 12.31%)	
align=6, pos=192, len=192, seek_char=23, invert_pos=0:         3.16	        0.76 ( 75.94%)	        1.33 ( 57.78%)	        2.54 ( 19.65%)	
align=6, pos=192, len=192, seek_char=0, invert_pos=0:         3.16	        0.76 ( 75.94%)	        1.33 ( 57.80%)	        2.52 ( 20.26%)	
align=6, pos=192, len=256, seek_char=23, invert_pos=0:         2.99	        0.76 ( 74.56%)	        1.16 ( 61.17%)	        2.54 ( 14.99%)	
align=6, pos=192, len=256, seek_char=0, invert_pos=0:         2.99	        0.76 ( 74.55%)	        1.16 ( 61.16%)	        2.56 ( 14.28%)	
align=6, pos=192, len=512, seek_char=23, invert_pos=0:         2.92	        0.76 ( 73.94%)	        1.16 ( 60.23%)	        2.56 ( 12.24%)	
align=6, pos=192, len=512, seek_char=0, invert_pos=0:         2.99	        0.76 ( 74.55%)	        1.16 ( 61.16%)	        2.54 ( 14.95%)	
align=16369, pos=192, len=256, seek_char=23, invert_pos=0:         3.00	        0.76 ( 74.62%)	        1.16 ( 61.25%)	        2.54 ( 15.20%)	
align=7, pos=224, len=192, seek_char=23, invert_pos=0:         3.20	        0.76 ( 76.26%)	        1.33 ( 58.37%)	        2.52 ( 21.32%)	
align=7, pos=224, len=192, seek_char=0, invert_pos=0:         2.94	        0.76 ( 74.10%)	        1.33 ( 54.58%)	        2.52 ( 14.15%)	
align=7, pos=224, len=256, seek_char=23, invert_pos=0:         3.36	        0.76 ( 77.38%)	        1.20 ( 64.29%)	        2.88 ( 14.31%)	
align=7, pos=224, len=256, seek_char=0, invert_pos=0:         3.39	        0.76 ( 77.58%)	        1.20 ( 64.60%)	        2.86 ( 15.63%)	
align=7, pos=224, len=512, seek_char=23, invert_pos=0:         3.40	        0.76 ( 77.64%)	        1.20 ( 64.68%)	        2.88 ( 15.32%)	
align=7, pos=224, len=512, seek_char=0, invert_pos=0:         3.40	        0.76 ( 77.64%)	        1.20 ( 64.70%)	        2.86 ( 15.88%)	
align=16369, pos=224, len=256, seek_char=23, invert_pos=0:         3.40	        0.84 ( 75.30%)	        1.20 ( 64.73%)	        2.86 ( 15.94%)	
align=0, pos=1, len=2, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.39%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=0, pos=1, len=2, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=1, pos=1, len=2, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.84%)	        0.44 ( 31.64%)	        0.44 ( 31.64%)	
align=1, pos=1, len=2, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.55%)	        0.44 ( 31.31%)	        0.44 ( 31.32%)	
align=0, pos=1, len=0, seek_char=23, invert_pos=0:         0.32	        0.32 (  0.00%)	        0.32 (  0.02%)	        0.32 (  0.02%)	
align=0, pos=1, len=0, seek_char=0, invert_pos=0:         0.32	        0.32 (  0.00%)	        0.32 (  0.02%)	        0.32 (  0.02%)	
align=1, pos=1, len=0, seek_char=23, invert_pos=0:         0.32	        0.32 (  0.00%)	        0.32 (  0.02%)	        0.32 (  0.02%)	
align=1, pos=1, len=0, seek_char=0, invert_pos=0:         0.32	        0.32 (  0.00%)	        0.32 (  0.02%)	        0.32 (  0.02%)	
align=8192, pos=1, len=2, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.26%)	        0.44 ( 31.26%)	
align=8192, pos=1, len=2, seek_char=0, invert_pos=0:         0.64	        0.41 ( 35.24%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=8193, pos=1, len=2, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.27%)	        0.44 ( 31.26%)	
align=8193, pos=1, len=2, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=8192, pos=1, len=0, seek_char=23, invert_pos=0:         0.32	        0.32 ( -0.02%)	        0.32 ( -0.02%)	        0.32 ( -0.02%)	
align=8192, pos=1, len=0, seek_char=0, invert_pos=0:         0.32	        0.32 (  0.00%)	        0.32 (  0.00%)	        0.32 (  0.00%)	
align=8193, pos=1, len=0, seek_char=23, invert_pos=0:         0.32	        0.32 (  0.02%)	        0.32 (  0.02%)	        0.32 (  0.04%)	
align=8193, pos=1, len=0, seek_char=0, invert_pos=0:         0.32	        0.32 ( -0.02%)	        0.32 (  0.00%)	        0.32 (  0.00%)	
align=16369, pos=1, len=0, seek_char=23, invert_pos=0:         0.32	        0.32 (  0.00%)	        0.32 (  0.02%)	        0.32 (  0.00%)	
align=16369, pos=1, len=0, seek_char=0, invert_pos=0:         0.32	        0.32 (  0.02%)	        0.32 (  0.00%)	        0.32 (  0.02%)	
align=16369, pos=1, len=2, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.48%)	        0.44 ( 31.15%)	        0.44 ( 31.25%)	
align=16369, pos=1, len=2, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.26%)	        0.44 ( 31.25%)	
align=0, pos=2, len=3, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.51%)	        0.44 ( 31.26%)	        0.44 ( 31.25%)	
align=0, pos=2, len=3, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=2, pos=2, len=3, seek_char=23, invert_pos=0:         0.64	        0.42 ( 33.88%)	        0.44 ( 31.25%)	        0.44 ( 31.24%)	
align=2, pos=2, len=3, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.26%)	        0.44 ( 31.26%)	
align=0, pos=2, len=1, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.51%)	        0.44 ( 31.26%)	        0.44 ( 31.26%)	
align=0, pos=2, len=1, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.26%)	        0.44 ( 31.26%)	
align=2, pos=2, len=1, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.27%)	        0.44 ( 31.26%)	
align=2, pos=2, len=1, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=8192, pos=2, len=3, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.87%)	        0.44 ( 31.67%)	        0.44 ( 31.68%)	
align=8192, pos=2, len=3, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=8194, pos=2, len=3, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=8194, pos=2, len=3, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.51%)	        0.44 ( 31.27%)	        0.44 ( 31.26%)	
align=8192, pos=2, len=1, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=8192, pos=2, len=1, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.56%)	        0.44 ( 31.32%)	        0.44 ( 31.32%)	
align=8194, pos=2, len=1, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.39%)	        0.44 ( 31.25%)	        0.44 ( 31.26%)	
align=8194, pos=2, len=1, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.25%)	        0.44 ( 31.26%)	
align=16369, pos=2, len=1, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=16369, pos=2, len=1, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.51%)	        0.44 ( 31.26%)	        0.44 ( 31.26%)	
align=16369, pos=2, len=3, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=16369, pos=2, len=3, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=0, pos=3, len=4, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.26%)	        0.44 ( 31.27%)	
align=0, pos=3, len=4, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.51%)	        0.44 ( 31.25%)	        0.44 ( 31.26%)	
align=3, pos=3, len=4, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.49%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=3, pos=3, len=4, seek_char=0, invert_pos=0:         0.64	        0.40 ( 37.51%)	        0.44 ( 31.27%)	        0.44 ( 31.26%)	
align=0, pos=3, len=2, seek_char=23, invert_pos=0:         0.64	        0.40 ( 37.50%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
align=0, pos=3, len=2, seek_char=0, invert_pos=0:         0.64	        0.42 ( 34.50%)	        0.44 ( 31.25%)	        0.44 ( 31.25%)	
